,sample,plate,batch,well,row,col,replicate,region,sort,cm.from.mouth,Paired DNA,prior_cell_type,n_counts,n_genes_by_counts,total_counts,total_counts_mt,pct_counts_mt,total_counts_ribo,pct_counts_ribo,_scvi_batch,_scvi_labels,leiden,S_score,G2M_score,phase,esophageal_diff_score,basal_epithelial_score,cd8_score,cd4_score,cd8_cd4_score,leiden2,leiden3,cell_type,Cell Type,dpt_pseudotime,Diffusion Pseudotime,% MT,% ribo
cu03_p3r3J23,cu03,p3,cu03_p3,J23,J,23,3,B,CD45+,27.0,True,,581631.0,2057,581631.0,28679.0,4.9307895,75554.0,12.990024,0,0,7,-0.15899367537200926,-0.14538880946641727,G1,0.42114961860285083,0.7154413078129291,-0.05347623087465763,0.3142855263998111,-0.36776175727446875,7,t0,CD4+ T Cell,CD4+ T Cell,,,4.9307895,12.990024
cu02_p1r3J8,cu02,p1,cu02_p1,J8,J,8,3,3,EPCAM+,24.0,True,Basal Epithelial,522094.0,5540,522094.0,47116.0,9.024428,97532.0,18.680927,0,0,5,-0.1346030848509893,-0.23049901020239813,G1,0.17424774354915407,0.870321184799075,-0.09405682081356645,-0.10125483423471451,0.007198013421148064,5,5,Basal Epithelial,Basal Epithelial,0.0,0.0,9.024428,18.680927
cu01_p2r1B11,cu01,p2,cu01_p2,B11,B,11,1,C,EPCAM+,31.0,True,Suprabasal Epithelial,1124900.0,7399,1124900.0,75560.0,6.717042,129948.0,11.55196,0,0,3,-0.1608112897331565,-0.1861986368037453,G1,0.981987939407063,0.5832475034855307,-0.05102439145557582,-0.05329562974472841,0.0022712382891525856,3,3,Suprabasal Epithelial,Suprabasal Epithelial,0.8709567,0.8709567,6.717042,11.55196
cu01_p1r1B7,cu01,p1,cu01_p1,B7,B,7,1,B,EPCAM+,25.0,True,Basal Epithelial,1314627.0,7514,1314627.0,143507.0,10.916177,176871.0,13.4540825,0,0,9,-0.14811493260805036,-0.20690111379180062,G1,0.35272663604457144,0.998737671310082,-0.06712150164879858,-0.09550375603760282,0.028382254388804234,9,9,Basal Epithelial,Basal Epithelial,0.09171587,0.09171587,10.916177,13.4540825
cu02_p1r4O6,cu02,p1,cu02_p1,O6,O,6,4,3,EPCAM+,24.0,True,Suprabasal Epithelial,1116295.0,6048,1116295.0,68868.0,6.1693373,206400.0,18.489737,0,0,10,-0.19058275199606656,-0.1956967741774221,G1,1.05263694341919,0.44000783552974465,-0.06257767032831907,-0.06207667363186677,-0.0005009966964522952,10,10,Suprabasal Epithelial,Suprabasal Epithelial,0.7604846,0.7604846,6.1693373,18.489737
cu02_p3r3K15,cu02,p3,cu02_p3,K15,K,15,3,2,EPCAM+,34.0,True,,205537.0,7765,205537.0,23155.0,11.265612,8009.0,3.896622,0,0,0,-0.07012974851234038,-0.18455300118088477,G1,0.7515448790937662,0.665693122714758,-0.12733303736895324,-0.17278985371192296,0.04545681634296972,0,0,Suprabasal Epithelial,Suprabasal Epithelial,0.82459426,0.82459426,11.265612,3.896622
cu02_p2r2G21,cu02,p2,cu02_p2,G21,G,21,2,1,EPCAM+,37.0,True,Proliferative Basal Epithelial,595969.0,7364,595969.0,63588.0,10.6696825,60583.0,10.165462,0,0,1,-0.2546058394452805,1.0374162188497023,G2M,0.3994514482209788,1.4419207840934396,-0.09818938052281738,-0.140783476891617,0.042594096368799614,1,1,Proliferative Basal Epithelial,Proliferative Basal Epithelial,0.62995034,0.62995034,10.6696825,10.165462
cu01_p1r2G21,cu01,p1,cu01_p1,G21,G,21,2,B,EPCAM+,25.0,True,Suprabasal Epithelial,1811168.0,8021,1811168.0,134865.0,7.4462996,212864.0,11.752858,0,0,4,0.10493901722968357,-0.14953337335936048,S,0.5850434324395131,0.755850275248289,-0.0656931622698903,-0.030851176735013724,-0.03484198553487658,4,4,Proliferative Basal Epithelial,Proliferative Basal Epithelial,0.44818392,0.44818392,7.4462996,11.752858
cu03_p2r1C20,cu03,p2,cu03_p2,C20,C,20,1,A,EPCAM+,30.0,True,,499337.0,8944,499337.0,21375.0,4.2806764,43275.0,8.6664915,0,0,1,0.14589661930421,0.720171625209092,G2M,0.6863368672132492,0.8259850577414036,-0.07168143577873706,-0.08327663466334342,0.011595198884606361,1,1,Proliferative Basal Epithelial,Proliferative Basal Epithelial,0.5530435,0.5530435,4.2806764,8.6664915
cu03_p3r3J13,cu03,p3,cu03_p3,J13,J,13,3,B,EPCAM+,27.0,True,,218255.0,3641,218255.0,23477.0,10.756683,21226.0,9.725321,0,0,2,-0.19172143725999588,-0.2082381196995522,G1,0.611547354473787,0.3873602442443371,-0.056607611179351806,-0.06477519010504086,0.008167578925689055,2,2,Suprabasal Epithelial,Suprabasal Epithelial,0.60853136,0.60853136,10.756683,9.725321
cu02_p2r1D20,cu02,p2,cu02_p2,D20,D,20,1,1,EPCAM+,37.0,True,Suprabasal Epithelial,696137.0,8441,696137.0,48993.0,7.0378385,72658.0,10.437313,0,0,3,-0.21990481526016897,-0.20693009741959972,G1,1.069049960018081,0.28552527783811094,-0.04847941108047962,-0.04864338863641024,0.0001639775559306167,3,3,Suprabasal Epithelial,Suprabasal Epithelial,0.9439136,0.9439136,7.0378385,10.437313
cu03_p2r1C7,cu03,p2,cu03_p2,C7,C,7,1,A,EPCAM+,30.0,True,,651018.0,8711,651018.0,38619.0,5.932094,57400.0,8.81696,0,0,1,0.20164524412979828,0.292004578560079,G2M,0.4988287357240915,1.1891785528361796,-0.07153998430818319,0.010440558095773073,-0.08198054240395626,1,1,Proliferative Basal Epithelial,Proliferative Basal Epithelial,0.5005824,0.5005824,5.932094,8.81696
cu03_p3r3K5,cu03,p3,cu03_p3,K5,K,5,3,B,EPCAM+,27.0,True,,457585.0,4648,457585.0,18980.0,4.1478634,31749.0,6.938383,0,0,1,-0.11731958049176544,0.5645372628433896,G2M,0.7564238226641626,0.6569246951937675,-0.09653270900249482,-0.08696776087085406,-0.009564948131640758,1,1,Proliferative Basal Epithelial,Proliferative Basal Epithelial,0.56042737,0.56042737,4.1478634,6.938383
cu03_p2r4N13,cu03,p2,cu03_p2,N13,N,13,4,A,EPCAM+,30.0,True,,722710.0,7513,722710.0,55615.0,7.695341,72929.0,10.091046,0,0,0,0.3046066393809659,-0.13939187364591346,S,0.9895258365418105,0.807651989236474,-0.04221487851813435,-0.05009052618096272,0.007875647662828368,0,0,Suprabasal Epithelial,Suprabasal Epithelial,0.72382903,0.72382903,7.695341,10.091046
cu03_p1r2H15,cu03,p1,cu03_p1,H15,H,15,2,D,EPCAM+,17.0,True,,1393019.0,2685,1393019.0,172372.0,12.373987,341496.0,24.514812,0,0,2,-0.16850226397296564,-0.08355820832382581,G1,0.38958405895049086,0.31017252055928113,-0.04458166935481131,-0.024760732315480708,-0.0198209370393306,2,2,Suprabasal Epithelial,Suprabasal Epithelial,0.6275381,0.6275381,12.373987,24.514812
cu02_p2r2E17,cu02,p2,cu02_p2,E17,E,17,2,1,EPCAM+,37.0,True,Suprabasal Epithelial,977111.0,8982,977111.0,55110.0,5.640096,128977.0,13.199832,0,0,3,-0.23124221379534057,-0.19165637294389562,G1,1.0080309834589851,0.6924968258999289,-0.05160946018993855,-0.0637828247435391,0.012173364553600546,3,3,Suprabasal Epithelial,Suprabasal Epithelial,0.9008453,0.9008453,5.640096,13.199832
cu02_p3r2E12,cu02,p3,cu02_p3,E12,E,12,2,4,EPCAM+,21.0,True,,279218.0,6623,279218.0,19832.0,7.1026936,20032.0,7.1743226,0,0,0,-0.09301999546239464,-0.16429592159980969,G1,1.1043653496398647,0.6977859614491464,-0.06419122997671366,-0.08932501760621865,0.025133787629504994,0,0,Suprabasal Epithelial,Suprabasal Epithelial,0.6850983,0.6850983,7.1026936,7.1743226
cu01_p2r2F1,cu01,p2,cu01_p2,F1,F,1,2,B,EPCAM+,25.0,True,Proliferative Basal Epithelial,431110.0,4500,431110.0,32467.0,7.5310245,78203.0,18.139917,0,0,1,-0.17717535416838603,0.1855862564336928,G2M,0.7061114366229844,0.3959893532544374,-0.025313919018954037,-0.024553911350667475,-0.0007600076682865615,1,1,Proliferative Basal Epithelial,Proliferative Basal Epithelial,0.61922926,0.61922926,7.5310245,18.139917
cu01_p1r4M3,cu01,p1,cu01_p1,M3,M,3,4,A,EPCAM+,22.0,True,Proliferative Basal Epithelial,1678549.0,8558,1678549.0,86938.0,5.179354,140016.0,8.341491,0,0,1,-0.08629637668437629,0.6818609470709427,G2M,0.6483562264253987,0.7855975838936865,-0.07018277223687619,-0.09398725215035181,0.023804479913475618,1,1,Proliferative Basal Epithelial,Proliferative Basal Epithelial,0.65639913,0.65639913,5.179354,8.341491
cu01_p1r2H13,cu01,p1,cu01_p1,H13,H,13,2,,EPCAM+,,False,Terminally Differentiated Epithelial,1753649.0,3912,1753649.0,0.0,0.0,37108.0,2.1160448,0,0,11,-0.23134262067528719,-0.14533140376219167,G1,1.764326471590163,-0.24655577058345077,-0.06676594608463347,-0.07764066503072778,0.010874718946094306,11,11,Terminally Differentiated Epithelial,Terminally Differentiated Epithelial,0.9614429,0.9614429,0.0,2.1160448
cu03_p2r1C4,cu03,p2,cu03_p2,C4,C,4,1,A,EPCAM+,30.0,True,,804014.0,7814,804014.0,50387.0,6.2669306,96061.0,11.947678,0,0,4,0.23389497422629119,-0.15192119956558955,S,0.5288420238981353,0.6540579593777657,-0.08485123509541154,-0.09066507599006096,0.005813840894649425,4,4,Proliferative Basal Epithelial,Proliferative Basal Epithelial,0.46665964,0.46665964,6.2669306,11.947678
cu01_p1r2H20,cu01,p1,cu01_p1,H20,H,20,2,B,EPCAM+,25.0,True,Basal Epithelial,1572047.0,8397,1572047.0,179001.0,11.386492,249116.0,15.8466,0,0,9,0.04945659302088046,-0.1955101686623523,S,0.20189889272817352,1.3264770921953022,-0.10045304409693927,-0.08361039356949429,-0.016842650527444977,9,9,Basal Epithelial,Basal Epithelial,0.09639484,0.09639484,11.386492,15.8466
