,0,1
cu03_p3r3J23,15.571011,-1.7852172
cu02_p1r3J8,21.388529,-8.016574
cu01_p2r1B11,24.63095,-1.5980018
cu01_p1r1B7,21.695066,-9.385218
cu02_p1r4O6,23.517263,-2.4520926
cu02_p3r3K15,24.886002,-2.2592075
cu02_p2r2G21,27.547588,-7.8124733
cu01_p1r2G21,24.507792,-6.3896627
cu03_p2r1C20,25.880604,-7.2657275
cu03_p3r3J13,22.215277,-3.1207387
cu02_p2r1D20,25.110474,-0.49408242
cu03_p2r1C7,25.165375,-6.589309
cu03_p3r3K5,25.463589,-5.5926666
cu03_p2r4N13,26.35602,-3.624503
cu03_p1r2H15,21.257408,-2.6232548
cu02_p2r2E17,25.917765,-1.3647538
cu02_p3r2E12,23.529755,-3.150855
cu01_p2r2F1,26.05943,-4.9859567
cu01_p1r4M3,27.579672,-5.8051105
cu01_p1r2H13,20.813774,-0.120670736
cu03_p2r1C4,23.607164,-5.2590084
cu01_p1r2H20,22.119715,-8.36686
cu03_p2r1C24,14.892898,-1.5321479
cu02_p3r4O9,21.057638,-6.418054
cu01_p2r1C17,26.462738,-4.2127414
cu03_p2r2E20,23.570791,-3.2354488
cu02_p3r2H10,25.453527,0.10785256
cu02_p1r4N7,25.78962,-0.97080106
cu02_p3r2F21,25.488605,-4.1110063
cu02_p1r1D20,24.585733,-0.8807558
cu02_p3r3I3,24.43849,-4.676982
cu02_p1r4O7,26.65219,-8.15323
cu01_p1r4O16,22.031872,-8.922612
cu01_p2r3J12,20.140718,-7.7088666
cu01_p1r4M15,21.211948,-9.290291
cu02_p1r4M15,24.899256,-4.0663433
cu02_p2r2F5,25.750177,-1.2949287
cu01_p2r1A12,19.70781,-8.294859
cu03_p2r3I6,23.158436,-5.436303
cu03_p2r2H8,24.427238,-1.1016355
cu01_p2r2G18,21.599329,-8.660335
cu03_p4r1A22,17.694445,-3.978425
cu02_p2r2H4,26.884117,-7.6900635
cu02_p1r4N18,24.459507,-4.4992266
eso29_p1E5,22.332829,-7.2070847
cu02_p1r3L18,24.719803,-8.392173
cu02_p2r2E18,24.75091,-8.705096
cu02_p1r3L10,24.174213,-3.1125016
cu02_p3r4O10,24.839195,-2.833997
cu03_p2r3K15,25.668354,-2.3167503
cu03_p4r4O20,21.695276,-3.716547
cu02_p1r1C16,26.445185,-8.508181
cu02_p1r2H3,26.442995,-8.978842
cu03_p3r1C22,14.832473,-0.95971835
cu01_p2r3K14,21.495157,-7.6542616
cu03_p2r2E5,25.759878,-0.98576474
cu02_p3r2H3,25.039324,-9.383192
cu03_p1r1A5,21.601416,-2.8633308
cu02_p1r2E11,26.171415,-3.3834445
cu01_p1r1B19,21.054995,-9.485048
cu01_p2r3I21,15.518486,0.07003896
cu03_p1r2H4,21.306797,-4.78832
cu01_p2r3L10,24.109491,-0.54522055
cu02_p1r3K9,23.895077,-5.135226
cu02_p3r3K12,24.605585,-8.351332
cu03_p2r2E7,21.248026,-9.026025
cu03_p3r1A11,25.53781,-0.08020576
cu02_p2r1A19,22.903088,-2.2294722
cu03_p2r3K9,25.326805,-5.0696826
cu01_p1r3K10,21.499191,-9.314882
cu03_p2r2E2,25.35882,-8.182818
cu03_p2r3J9,24.507448,-4.493087
cu01_p2r1A7,21.717922,-3.3861198
cu02_p1r1A22,22.31939,-3.603888
cu02_p1r3L12,24.040745,-0.122155055
cu01_p2r3L1,23.734035,-1.967094
cu03_p3r2H18,25.180384,-4.99122
cu03_p3r3I24,25.939856,-6.4214125
cu01_p1r1C5,25.057081,-1.2142591
cu02_p3r3I11,25.029425,-1.2312984
cu03_p2r4O15,24.854874,-6.4566174
cu03_p4r2E24,14.333661,-0.9280641
cu02_p1r4O14,26.82143,-5.5981135
cu03_p3r1B10,22.860096,-4.2725286
cu02_p3r4M18,24.63615,-1.2474021
cu03_p2r1B21,25.402422,-6.710645
cu02_p2r3J19,23.753744,-3.3364732
cu01_p2r4N22,14.581067,-0.14816055
cu03_p3r2F22,15.698877,-1.5402708
eso29_p2B12,22.876465,-8.101473
cu02_p2r3I21,23.257595,-8.541402
cu03_p2r1B3,23.609112,-6.1863513
cu02_p2r1C23,14.563285,0.46782508
cu03_p1r4N14,23.947643,-0.29223368
cu01_p2r2G3,20.978642,-7.2146897
cu03_p3r3K21,22.293598,-4.451966
cu01_p2r4O9,24.27187,-1.2920496
cu03_p2r1B23,14.698026,-1.7834764
cu02_p2r1D23,15.097537,0.29292175
cu03_p3r2H1,25.775854,-7.91753
cu02_p3r1D9,24.141146,-4.2478395
cu02_p3r1D17,19.729193,-8.547696
cu01_p1r3L5,21.383911,-0.36112985
cu02_p1r3K20,24.018612,-6.4193373
cu02_p2r2E13,25.932274,-2.9842834
cu01_p1r3K17,26.581839,-2.0173042
cu01_p2r4M4,22.227858,-8.532931
cu02_p3r3L6,25.766073,-8.994251
cu02_p1r4O9,24.335787,-4.306967
cu03_p3r4N13,24.543114,0.43150017
cu02_p3r4O2,22.181953,-7.573659
cu02_p2r3K17,22.205118,-9.36932
cu02_p2r4M15,26.299904,-4.7888584
cu02_p3r4M15,26.391396,-2.9373705
cu02_p1r3L9,25.832794,-4.052006
cu02_p3r2H6,20.255983,-0.30171597
cu01_p2r4O1,21.59786,-8.34658
cu02_p2r2E2,26.645899,-4.717371
cu01_p2r4O5,24.016117,-2.786566
cu03_p3r3J4,24.773775,-3.2891862
cu03_p1r3L11,23.88882,-1.0602959
eso29_p2H3,14.21995,0.4615508
cu03_p3r1C8,23.432999,-1.1885297
cu03_p2r3K20,23.728971,-1.1390451
cu02_p1r3I19,24.61286,-4.4275618
cu03_p2r2G23,14.638933,-1.7776972
cu03_p2r3L17,24.82504,-1.109006
cu03_p3r2G9,22.650635,-2.1132333
cu03_p3r3K23,14.701255,-2.0993178
cu03_p3r4N6,22.538824,-3.3929107
cu01_p2r1B16,19.92952,-8.433973
cu03_p2r3I21,22.710997,-4.810077
cu02_p3r1A23,14.94881,-0.34637558
cu03_p2r3J4,26.326593,-6.8009005
cu03_p2r2G4,24.762968,-1.1826955
cu03_p2r1C2,24.111464,0.26349634
cu03_p2r3K21,23.6817,-5.6807127
cu02_p2r3I2,26.180435,-0.5548621
cu02_p1r1C18,24.270266,-5.3245153
cu02_p3r4N4,25.698067,-5.626621
cu02_p1r3I11,24.995153,-7.9747405
cu03_p3r1B2,25.898556,-5.561947
cu02_p3r3I15,24.13247,-7.1114097
cu01_p2r4O11,22.31609,-2.2574449
cu02_p3r4N8,25.299791,-9.02256
cu03_p1r4O20,25.089008,-8.914933
cu03_p4r2G1,21.397749,-3.9383202
cu02_p2r2E5,25.193321,-2.1122313
cu03_p1r3J7,16.25008,-0.44879875
cu01_p1r3J11,25.436245,-4.393711
cu02_p2r3J24,15.24405,-0.5235064
cu01_p2r4M3,25.0276,-2.4945827
cu02_p3r1D2,23.732145,-3.7617073
cu02_p2r3K8,25.317205,-1.5797856
cu02_p3r1D18,19.32763,-8.07422
cu03_p2r3J12,22.919931,-7.557868
cu02_p2r3K16,22.881092,-4.6158276
cu03_p3r4O16,24.637419,-0.76780117
cu03_p2r3L13,25.991865,-0.9851134
cu01_p2r3K11,25.58721,-5.3000965
cu01_p2r2G9,20.513645,-4.830079
cu03_p2r1D14,25.006458,-6.366619
cu02_p2r3L16,27.048817,-4.46719
cu03_p3r3K15,24.117142,-7.2442145
cu01_p1r4M2,27.471313,-5.801735
cu03_p1r2G3,20.337303,-6.27788
cu02_p2r2E7,25.933851,-1.9838452
cu03_p2r1C23,14.431244,-1.287361
cu03_p4r1B10,24.581224,-7.3424964
cu03_p4r2E17,25.74706,-6.476413
cu01_p2r2G13,25.188204,-8.9097
cu02_p3r3I1,24.373028,-3.4919338
cu01_p2r4N4,25.225187,-1.1106124
cu03_p2r2F10,25.221863,0.4732464
cu02_p3r2F15,25.60756,-7.629094
cu03_p2r2E14,22.29843,-7.4995213
cu01_p2r3I17,18.921896,-8.143697
cu01_p2r4O3,20.904535,-8.253202
cu03_p3r1C3,23.805489,-4.457151
cu03_p4r1A13,21.891788,-5.8530936
cu03_p2r3J21,24.816748,-4.130848
cu03_p2r2G20,27.432932,-6.7156587
cu01_p1r2F17,27.026323,-7.855896
cu02_p2r1D16,24.330359,-2.6578531
cu03_p4r2H5,26.13323,-7.3222523
cu02_p2r4N17,25.86629,-1.5934918
cu02_p1r2F9,25.55679,-2.1302114
cu01_p1r1A13,21.253334,-8.0799675
cu02_p1r1C4,24.445393,-7.6791725
cu03_p3r2G15,25.718498,-7.243942
cu03_p3r2F10,24.170753,-2.6671474
cu02_p1r2F15,25.356485,-9.33992
cu02_p1r3K15,24.703386,-5.156263
cu03_p2r3J2,24.354094,-8.123831
cu01_p1r3I5,21.430925,-8.142577
cu01_p2r3K9,26.919592,-6.377924
cu02_p1r2F1,23.728727,-6.3284206
cu03_p1r2F12,20.277716,-6.782588
cu03_p2r4O9,22.031559,-7.241979
cu03_p3r4M5,24.20481,-2.246698
cu02_p2r1C8,27.586998,-6.495551
cu02_p1r2F23,15.89111,-0.7659098
cu01_p2r2H12,25.82332,-8.540204
cu02_p2r1B8,25.087439,-8.019158
cu02_p1r1B16,24.68492,-8.819611
cu03_p2r3I5,24.653204,-6.978304
cu03_p2r4M3,22.944252,-4.978141
cu01_p2r3K13,24.801477,-3.740506
cu02_p2r3L23,16.98283,-4.0416985
cu01_p2r3I20,24.351418,-5.6779723
cu02_p2r4M22,14.699156,-0.6856654
cu02_p2r4O20,22.345709,-8.19786
cu02_p1r3I24,15.12367,-0.7541522
cu03_p3r2F2,23.444942,-1.1705118
cu02_p1r3K13,24.855371,-2.7907758
cu03_p1r4N20,19.763067,-6.3998528
eso29_p2E3,20.901217,-7.799623
cu02_p2r1D5,22.809675,-2.0765266
cu01_p2r2E7,25.287657,-9.314798
cu03_p2r2E17,24.836432,-2.214227
eso29_p1D5,23.553045,-7.1965394
cu03_p2r3L19,23.611156,-4.7237372
cu01_p2r4M20,22.060654,-8.749565
cu02_p1r2H4,24.584032,-7.769891
cu03_p2r2G14,19.387596,-6.608631
cu01_p2r3K19,25.12866,-9.387124
cu01_p2r2F17,23.938147,-5.2791243
cu02_p1r2E22,16.977991,-4.3144813
cu03_p3r2E5,25.49098,-2.7915642
cu02_p1r2F11,24.66696,-3.0843139
cu03_p3r2G3,23.352234,-2.9685013
cu02_p2r3K10,24.247591,-8.936962
cu02_p2r3J16,25.069628,0.22906654
cu03_p3r1A23,20.759684,-3.270347
cu03_p3r4N8,23.168242,-1.3960325
cu02_p3r3K21,26.595545,-4.81367
cu02_p3r2G23,14.592124,-0.30066016
cu02_p1r4M5,24.090212,-2.4918418
cu02_p1r3L5,23.876596,0.0011474572
cu03_p2r1B19,24.693613,-9.260495
cu02_p2r1C22,14.908239,-1.0421445
cu02_p1r2F10,25.830011,-9.091252
cu01_p2r1D14,19.767017,-7.045713
cu02_p2r2G2,26.554287,-5.632422
cu03_p3r2F21,27.05596,-5.8624287
cu01_p2r1A24,15.353877,0.14839633
cu03_p2r3J24,14.494119,-1.5612955
cu02_p3r1D21,19.757637,-9.205726
cu01_p2r3L14,22.482813,-6.69725
cu03_p2r1C21,23.11762,-2.9085062
cu02_p3r3L8,24.299917,-2.217744
cu02_p1r1B1,23.279612,-8.655663
cu03_p2r1A13,19.382496,-6.9955587
cu01_p1r3I9,19.629545,-6.7698216
cu01_p1r4N13,22.03574,-8.3514595
cu02_p2r1C15,25.578243,-1.9065413
cu03_p2r3K3,22.817722,-4.5433583
cu03_p3r1B14,27.064407,-6.1173053
cu02_p1r2G6,25.57192,-0.6519484
cu02_p1r3L6,25.429146,-6.143585
cu03_p2r4N5,23.528732,-6.125936
cu01_p2r3K20,19.88818,-8.460539
cu01_p1r2F9,20.679659,-9.127632
cu01_p1r4N8,25.473963,-1.1293457
cu03_p4r4O5,22.532375,-4.340782
cu03_p3r1A3,24.62701,-0.42693573
cu01_p1r2E23,21.456665,-7.827263
cu02_p2r1C7,27.878683,-6.626291
cu01_p1r3L7,23.846972,-2.673887
eso29_p2E10,21.615524,-8.335258
cu01_p1r3K9,23.296558,-2.8073196
cu01_p2r3J16,20.394644,-7.846149
cu03_p2r2E4,25.15984,-4.7795978
cu03_p4r1C3,22.138456,-2.860455
cu02_p2r1D1,23.779337,-3.3933575
cu03_p1r1D14,26.12447,-7.739854
cu03_p2r3L12,24.84267,-1.976504
cu02_p2r2E15,24.104868,-3.8766024
cu03_p1r3L5,21.706087,-1.0990009
cu01_p1r3I2,26.559978,-5.2298403
cu03_p1r2G2,24.294779,0.3013551
eso29_p2B10,26.072031,-4.6862297
cu02_p1r3K11,24.012491,-3.8861728
cu02_p1r2E16,25.897121,-8.708148
cu03_p1r1A10,26.42738,-1.6111712
cu03_p1r4O15,21.073568,-3.8697534
cu02_p2r2F12,24.007994,-3.3100724
cu01_p2r3K15,19.928553,-8.332069
cu01_p2r2E21,15.057539,-0.04376749
cu03_p2r1B4,26.476175,-7.184583
cu02_p2r4M5,24.781353,-1.0186512
cu02_p2r4M19,24.991955,-0.5579531
cu01_p1r1C23,21.252872,-6.280834
cu02_p1r4N6,24.883646,-1.1073992
cu01_p2r4M12,26.919436,-4.8778305
cu02_p2r2F14,22.313559,-8.491188
cu01_p2r1D20,25.850618,-8.402558
cu03_p4r4O6,19.900173,-6.153504
cu02_p3r2G16,26.724783,-1.9616044
cu01_p1r1D12,20.099138,-8.8542795
cu03_p2r1C10,24.902122,-7.767336
cu02_p3r2G9,27.372114,-7.718659
cu01_p1r2E1,21.008331,0.12007306
cu03_p3r3I20,24.103956,-1.3230057
cu02_p1r1C23,15.33657,-0.42185664
cu03_p3r4O19,22.491081,-2.7991076
cu03_p3r1D8,23.614668,-2.2800312
cu02_p1r1D8,24.966284,-1.7002972
cu01_p1r2G7,25.94469,-5.95284
