,cell_type
cu01_p1r1B11,Basal Epithelial
cu01_p1r2H10,Suprabasal Epithelial
cu01_p1r2G1,Suprabasal Epithelial
cu01_p1r3I21,Basal Epithelial
cu01_p1r3L3,Terminally Differentiated Epithelial
cu01_p1r2F1,Terminally Differentiated Epithelial
cu01_p1r2F6,Suprabasal Epithelial
cu01_p1r2E7,Basal Epithelial
cu01_p1r2F7,Suprabasal Epithelial
cu01_p1r3J1,Proliferative Basal Epithelial
cu01_p1r1A13,Basal Epithelial
cu01_p1r2F15,Suprabasal Epithelial
cu01_p1r1B24,Suprabasal Epithelial
cu01_p1r1A12,Suprabasal Epithelial
cu01_p1r2E11,Suprabasal Epithelial
cu01_p1r2F2,Suprabasal Epithelial
cu01_p1r1B4,Terminally Differentiated Epithelial
cu01_p1r1A6,Suprabasal Epithelial
cu01_p1r4M3,Proliferative Basal Epithelial
cu01_p1r3K15,Basal Epithelial
cu01_p1r3J5,Basal Epithelial
cu01_p1r3K10,Basal Epithelial
cu01_p1r3J7,Proliferative Basal Epithelial
cu01_p1r2E22,Basal Epithelial
cu01_p1r4M20,Basal Epithelial
cu01_p1r2G5,Proliferative Basal Epithelial
cu01_p1r1B15,Suprabasal Epithelial
cu01_p1r4O10,Basal Epithelial
cu01_p1r1D20,Proliferative Basal Epithelial
cu01_p1r4M21,Basal Epithelial
cu01_p1r4O21,Terminally Differentiated Epithelial
cu01_p1r3I24,Proliferative Basal Epithelial
cu01_p1r2F24,Suprabasal Epithelial
cu01_p1r1D18,Basal Epithelial
cu01_p1r4N21,Proliferative Basal Epithelial
cu01_p1r2H19,Basal Epithelial
cu01_p1r4O5,Suprabasal Epithelial
cu01_p1r1B10,Proliferative Basal Epithelial
cu01_p1r2G23,Basal Epithelial
cu01_p1r1C13,Basal Epithelial
cu01_p1r3L1,Terminally Differentiated Epithelial
cu01_p1r4M19,Basal Epithelial
cu01_p1r4N6,Basal Epithelial
cu01_p1r3K17,Suprabasal Epithelial
cu01_p1r3L8,Basal Epithelial
cu01_p1r2F19,Basal Epithelial
cu01_p1r3L15,Basal Epithelial
cu01_p1r3I20,Basal Epithelial
cu01_p1r1D16,Proliferative Basal Epithelial
cu01_p1r3I16,Proliferative Basal Epithelial
cu01_p1r4N5,Suprabasal Epithelial
cu01_p1r2H17,Suprabasal Epithelial
cu01_p1r1A19,Proliferative Basal Epithelial
cu01_p1r2H16,Suprabasal Epithelial
cu01_p1r1B5,Basal Epithelial
cu01_p1r3L10,Proliferative Basal Epithelial
cu01_p1r1C5,Suprabasal Epithelial
cu01_p1r4M8,Suprabasal Epithelial
cu01_p1r1D21,Proliferative Basal Epithelial
cu01_p1r3L13,Basal Epithelial
cu01_p1r3K6,Basal Epithelial
cu01_p1r1D3,Suprabasal Epithelial
cu01_p1r2F10,Terminally Differentiated Epithelial
cu01_p1r1B17,Basal Epithelial
cu01_p1r3I8,Basal Epithelial
cu01_p1r4M6,Basal Epithelial
cu01_p1r2F22,Basal Epithelial
cu01_p1r4O19,Suprabasal Epithelial
cu01_p1r2E1,Terminally Differentiated Epithelial
cu01_p1r2E3,Suprabasal Epithelial
cu01_p1r2G15,Basal Epithelial
cu01_p1r1C12,Proliferative Basal Epithelial
cu01_p1r2F16,Basal Epithelial
cu01_p1r2H20,Basal Epithelial
cu01_p1r2E14,Proliferative Basal Epithelial
cu01_p1r3I23,Proliferative Basal Epithelial
cu01_p1r1A1,Terminally Differentiated Epithelial
cu01_p1r2F17,Proliferative Basal Epithelial
cu01_p1r3K20,Suprabasal Epithelial
cu01_p1r2H18,Basal Epithelial
cu01_p1r1D23,Basal Epithelial
cu01_p1r4M23,Basal Epithelial
cu01_p1r2H23,Basal Epithelial
cu01_p1r1D12,Basal Epithelial
cu01_p1r4N17,Suprabasal Epithelial
cu01_p1r4N4,Terminally Differentiated Epithelial
cu01_p1r3I14,Suprabasal Epithelial
cu01_p1r3K8,Suprabasal Epithelial
cu01_p1r1C15,Suprabasal Epithelial
cu01_p1r3L9,Suprabasal Epithelial
cu01_p1r1A18,Basal Epithelial
cu01_p1r4O18,Terminally Differentiated Epithelial
cu01_p1r2G9,Proliferative Basal Epithelial
cu01_p1r3I4,Proliferative Basal Epithelial
cu01_p1r4N13,Basal Epithelial
cu01_p1r4M5,Suprabasal Epithelial
cu01_p1r3K4,Basal Epithelial
cu01_p1r2F5,Basal Epithelial
cu01_p1r3I11,Basal Epithelial
cu01_p1r3J13,Basal Epithelial
cu01_p1r3K5,Suprabasal Epithelial
cu01_p1r1D19,Suprabasal Epithelial
cu01_p1r3J21,Terminally Differentiated Epithelial
cu01_p1r2F12,Suprabasal Epithelial
cu01_p1r3K14,Suprabasal Epithelial
cu01_p1r3K23,Proliferative Basal Epithelial
cu01_p1r3L18,Basal Epithelial
cu01_p1r4M22,Suprabasal Epithelial
cu01_p1r4N22,Suprabasal Epithelial
cu01_p1r4O2,Terminally Differentiated Epithelial
cu01_p1r4M4,Terminally Differentiated Epithelial
cu01_p1r1C16,Suprabasal Epithelial
cu01_p1r2H6,Proliferative Basal Epithelial
cu01_p1r4M9,Suprabasal Epithelial
cu01_p1r1B9,Basal Epithelial
cu01_p1r4O3,Terminally Differentiated Epithelial
cu01_p1r4O16,Basal Epithelial
cu01_p1r1B22,Basal Epithelial
cu01_p1r1B20,Basal Epithelial
cu01_p1r2G7,Proliferative Basal Epithelial
cu01_p1r1B6,Suprabasal Epithelial
cu01_p1r4O9,Basal Epithelial
cu01_p1r2H14,Suprabasal Epithelial
cu01_p1r2E24,Suprabasal Epithelial
cu01_p1r3J9,Proliferative Basal Epithelial
cu01_p1r1B8,Proliferative Basal Epithelial
cu01_p1r3J11,Suprabasal Epithelial
cu01_p1r4M17,Basal Epithelial
cu01_p1r3I6,Basal Epithelial
cu01_p1r4N1,Proliferative Basal Epithelial
cu01_p1r4M12,Suprabasal Epithelial
cu01_p1r2H21,Basal Epithelial
cu01_p1r1C21,Proliferative Basal Epithelial
cu01_p1r2H11,Basal Epithelial
cu01_p1r4M14,Basal Epithelial
cu01_p1r2E12,Basal Epithelial
cu01_p1r4N9,Proliferative Basal Epithelial
cu01_p1r3L5,Terminally Differentiated Epithelial
cu01_p1r2E20,Proliferative Basal Epithelial
cu01_p1r3L2,Proliferative Basal Epithelial
cu01_p1r1A22,Terminally Differentiated Epithelial
cu01_p1r2H2,Proliferative Basal Epithelial
cu01_p1r3K9,Suprabasal Epithelial
cu01_p1r3K16,Basal Epithelial
cu01_p1r2H13,Terminally Differentiated Epithelial
cu01_p1r1D24,Basal Epithelial
cu01_p1r3K22,Suprabasal Epithelial
cu01_p1r3I12,Terminally Differentiated Epithelial
cu01_p1r2E8,Terminally Differentiated Epithelial
cu01_p1r3L14,Proliferative Basal Epithelial
cu01_p1r4N16,Suprabasal Epithelial
cu01_p1r4N11,Basal Epithelial
cu01_p1r1D8,Basal Epithelial
